entloss,optimgain,EpisodesSoFar,ev_tdlam_before,surrgain,EpRewMean,EpLenMean,meankl,TimeElapsed,entropy,TimestepsSoFar,EpThisIter
,0.000565886,112217,-0.0324229001999,0.000565886,1.625,80.925,0.000753518,23173.396525621414,0.0110254,9898962,18
,0.000217601,112235,0.467179119587,0.000217601,0.425,38.3,0.000950478,23174.64518380165,0.00777547,9899460,18
,0.0041927,112239,0.0749260783195,0.0041927,0.5,40.0,0.000834774,23175.85473060608,0.0174636,9899977,4
,0.00240924,112243,-0.0239230394363,0.00240924,0.7,45.925,0.000543176,23177.07429599762,0.0140095,9900419,4
,0.00264657,112252,-0.0928745269775,0.00264657,1.0,55.9,0.00057366,23178.33828806877,0.0137946,9901025,9
,0.00363599,112264,0.124062180519,0.00363599,1.075,58.925,0.000900702,23179.5991127491,0.0183588,9901564,12
,0.00176951,112268,0.110516428947,0.00176951,1.375,68.95,0.000615718,23180.812348127365,0.012862,9902057,4
,0.00300638,112276,0.348811209202,0.00300638,1.425,72.05,0.000583468,23182.054540157318,0.0130591,9902518,8
,0.000728205,112283,0.229326307774,0.000728205,1.25,66.9,0.000465017,23183.293031692505,0.0079069,9903095,7
,0.00180609,112295,0.206037282944,0.00180609,0.975,57.125,0.000652162,23184.55784392357,0.0119899,9903521,12
,0.00361117,112300,0.0772507190704,0.00361117,1.3,69.1,0.000981899,23185.77066040039,0.0222403,9904115,5
,0.00078742,112321,0.0286969542503,0.00078742,0.475,39.425,0.000884279,23187.06553387642,0.0107815,9904626,21
,0.00427888,112330,0.185488760471,0.00427888,0.7,45.825,0.000808269,23188.354355096817,0.00720015,9905089,9
,0.00190343,112334,0.00489383935928,0.00190343,0.95,54.425,0.00102535,23189.547087669373,0.0140671,9905643,4
,0.00535249,112336,-0.0162830352783,0.00535249,1.05,57.575,0.000910209,23190.738831996918,0.0185409,9905976,2
,0.00284947,112340,0.192022442818,0.00284947,1.075,59.175,0.000460056,23191.97069621086,0.0122524,9906482,4
,0.00344283,112348,-0.10748231411,0.00344283,1.45,72.275,0.000596103,23193.21099090576,0.0186593,9907190,8
,0.000569224,112356,0.461854934692,0.000569224,1.6,76.8,0.000614621,23194.457320213318,0.00584677,9907555,8
,0.00539924,112365,0.262293636799,0.00539924,1.775,84.475,0.000392195,23195.69426202774,0.0131613,9908211,9
,0.00270557,112368,0.0179052352905,0.00270557,2.0,93.1,0.000501306,23196.888600587845,0.0190173,9908714,3
,0.0017783,112372,0.0652851462364,0.0017783,1.975,95.925,0.000586865,23198.103173971176,0.00711353,9909189,4
,0.00241661,112385,-0.0421311855316,0.00241661,1.225,67.475,0.000643557,23199.358286619186,0.00707825,9909731,13
,0.00737285,112388,-0.0120165348053,0.00737285,1.4,72.625,0.000697209,23200.56865119934,0.012241,9910095,3
,0.00203467,112403,0.449027299881,0.00203467,1.175,65.0,0.000643383,23201.83634519577,0.0108399,9910765,15
,0.000640064,112417,0.0594084262848,0.000640064,0.775,47.05,0.000381613,23203.113127231598,0.00895622,9911287,14
,0.00176277,112426,0.429442167282,0.00176277,0.725,45.6,0.00101561,23204.330497026443,0.0131447,9911765,9
,0.00257658,112432,0.111351370811,0.00257658,0.725,45.175,0.00124219,23205.514497995377,0.0203779,9912319,6
,0.00304478,112435,-0.0980186462402,0.00304478,1.0,55.25,0.000697789,23206.718809604645,0.00751415,9912791,3
,0.00133057,112446,-0.00402545928955,0.00133057,1.225,61.65,0.000978217,23207.973638772964,0.0107393,9913328,11
