nupdates,policy_loss,explained_variance,total_timesteps,fps,policy_entropy,value_loss
49,-0.027440451085567474,0.0024285316467285156,31360,1982,1.438173770904541,0.07492615282535553
50,-0.02915761061012745,-0.002033829689025879,32000,1985,1.5507211685180664,0.08851736783981323
51,0.2711775302886963,-0.020972490310668945,32640,1978,1.6625961065292358,0.1269771307706833
52,0.2472708523273468,-0.009551286697387695,33280,1981,1.7336704730987549,0.07867869734764099
53,0.10009422898292542,0.005720794200897217,33920,1983,1.756760835647583,0.07030443847179413
54,0.03733598440885544,0.008048057556152344,34560,1983,1.7580645084381104,0.0641353502869606
55,-0.21932783722877502,0.0044258832931518555,35200,1987,1.7522313594818115,0.08739076554775238
56,-0.045072417706251144,0.003549635410308838,35840,1990,1.7432701587677002,0.0673748105764389
57,-0.06905747950077057,0.0015287995338439941,36480,1993,1.7499415874481201,0.10391650348901749
58,-0.20417548716068268,-0.00048661231994628906,37120,1996,1.74631667137146,0.08616243302822113
59,-0.05464475601911545,0.0022089481353759766,37760,1999,1.731960654258728,0.06749608367681503
60,-0.3831108808517456,0.004666745662689209,38400,2001,1.7146015167236328,0.11833258718252182
61,0.13387928903102875,0.003164350986480713,39040,1999,1.688354730606079,0.06918176263570786
62,0.06407351791858673,0.004813551902770996,39680,2001,1.6603937149047852,0.09801523387432098
63,0.3075162172317505,0.007535994052886963,40320,2003,1.6332108974456787,0.10057443380355835
64,0.13470177352428436,0.005815684795379639,40960,2005,1.6190252304077148,0.08081816136837006
65,0.04175383597612381,0.007195651531219482,41600,2006,1.6128690242767334,0.08581718057394028
66,0.20862823724746704,0.0031663179397583008,42240,2009,1.6424983739852905,0.05593854933977127
67,-0.35638612508773804,0.006823837757110596,42880,2011,1.6797540187835693,0.11191003024578094
68,0.10339991003274918,0.0019342303276062012,43520,2014,1.701379418373108,0.0745910257101059
69,-0.2390379160642624,0.004082918167114258,44160,2016,1.7160555124282837,0.08937367051839828
70,-0.10163120925426483,0.004188954830169678,44800,2017,1.723663330078125,0.0972338318824768
71,-0.08393357694149017,0.004508256912231445,45440,2019,1.7360165119171143,0.06744186580181122
72,-0.01761590503156185,0.004433274269104004,46080,2015,1.7446215152740479,0.10751046985387802
73,0.030914591625332832,0.00031435489654541016,46720,2017,1.7581335306167603,0.06172619387507439
74,-0.06617002189159393,0.008189678192138672,47360,2018,1.7661393880844116,0.09235675632953644
75,0.040457695722579956,0.005064845085144043,48000,2019,1.7734508514404297,0.06819163262844086
76,0.1042165532708168,0.007696092128753662,48640,2021,1.7793079614639282,0.06889477372169495
77,-0.1826787292957306,0.007226049900054932,49280,2023,1.783077597618103,0.09468967467546463
78,0.09315615147352219,0.006484091281890869,49920,2024,1.7835876941680908,0.08420045673847198
79,-0.048290107399225235,0.005808472633361816,50560,2025,1.7834813594818115,0.0744127705693245
80,0.04823280870914459,0.010185003280639648,51200,2026,1.7834751605987549,0.07117389142513275
81,0.08743602782487869,0.006312012672424316,51840,2027,1.784258484840393,0.07800284028053284
82,0.15990090370178223,-0.0006421804428100586,52480,2028,1.7842438220977783,0.12080343812704086
83,0.016976559534668922,0.009775936603546143,53120,2022,1.782759428024292,0.05274336785078049
84,-0.17414088547229767,-0.009403824806213379,53760,2023,1.7763268947601318,0.08836062252521515
85,-0.20061075687408447,-0.0074242353439331055,54400,2023,1.7701961994171143,0.08189834654331207
86,-0.15828837454319,0.0016455650329589844,55040,2023,1.765357255935669,0.0733446329832077
87,-0.31915217638015747,0.008345365524291992,55680,2025,1.761012077331543,0.10520130395889282
88,-0.0627593845129013,0.003965258598327637,56320,2026,1.758232831954956,0.06190761923789978
