entloss,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,TimeElapsed,EpThisIter,optimgain,TimestepsSoFar,entropy,surrgain
,132015,0.00103742,-0.0149320363998,0.65,48.55,18833.824196100235,9,0.000957411,8044529,0.00137096,0.000957411
,132025,0.00116483,0.22318148613,0.85,55.975,18835.047829151154,10,0.00220888,8045056,0.000980515,0.00220888
,132030,0.000967075,0.164952397346,1.025,63.275,18836.23740887642,5,0.00129632,8045463,0.00132681,0.00129632
,132036,0.000530337,0.0189322829247,1.325,74.4,18837.447763204575,6,0.00135202,8046046,0.00232136,0.00135202
,132041,0.000978166,0.0387959480286,1.425,78.175,18838.658548116684,5,0.00218092,8046458,0.00121784,0.00218092
,132051,0.000386476,0.186880707741,1.175,67.375,18839.912052631378,10,0.000520661,8046983,0.000955333,0.000520661
,132057,0.00104818,0.191144704819,1.35,74.725,18841.12851881981,6,0.00328438,8047564,0.00144985,0.00328438
,132069,0.00132588,0.350124359131,1.125,66.9,18842.380028247833,12,0.00196105,8048116,0.00207798,0.00196105
,132081,0.00132588,0.327154636383,0.725,52.0,18843.529453277588,12,0.00196105,8048538,0.00207798,0.00196105
,132088,0.000479883,0.133183836937,0.875,59.225,18844.691563129425,7,0.000599226,8049137,0.00141819,0.000599226
,132101,0.000479883,0.291152656078,0.45,41.25,18845.85423064232,13,0.000599226,8049582,0.00141819,0.000599226
,132107,0.00128321,0.10426980257,0.725,52.325,18847.064153671265,6,0.00202788,8050163,0.00123425,0.00202788
,132121,0.000346361,0.265532195568,0.725,52.375,18848.303239107132,14,0.000512434,8050633,0.00111142,0.000512434
,132139,5.8971e-05,0.335825443268,0.575,45.15,18849.562025785446,18,6.08955e-05,8051196,0.000261671,6.08955e-05
,132148,0.000458773,0.098424911499,0.4,37.825,18850.811721801758,9,0.00118577,8051699,0.00449462,0.00118577
,132170,2.34373e-08,0.346995413303,0.2,30.4,18852.067650794983,22,5.06639e-07,8052205,1.99975e-07,5.06639e-07
,132180,0.000423052,0.263403594494,0.4,37.825,18853.274728298187,10,0.000406571,8052732,0.000856773,0.000406571
,132185,0.000786009,0.0083846449852,0.5,41.55,18854.532945632935,5,0.00170093,8053144,0.00142785,0.00170093
,132195,0.000554952,0.230777978897,0.6,45.275,18855.749003648758,10,0.000809174,8053671,0.00233381,0.000809174
,132201,0.000212117,0.12013232708,0.875,56.225,18856.937516212463,6,0.000320703,8054247,0.000678587,0.000320703
,132206,0.000789168,0.0940409302711,1.05,63.525,18858.156574964523,5,0.00145404,8054654,0.00136931,0.00145404
,132211,0.000653749,-0.000406742095947,1.2,70.575,18859.378788471222,5,0.00505388,8055199,0.00604188,0.00505388
,132218,0.000525168,0.0907225608826,1.375,77.875,18860.598766565323,7,0.00160777,8055801,0.00397976,0.00160777
,132231,0.00109896,0.197550475597,1.075,66.725,18861.801671266556,13,0.000914158,8056248,0.00137509,0.000914158
,132237,0.001211,0.0475954413414,1.175,70.45,18862.995458841324,6,0.00142029,8056827,0.00142681,0.00142029
,132246,0.00016166,0.0664695501328,1.075,66.8,18864.1893119812,9,0.000223828,8057326,0.000643816,0.000223828
,132256,0.000827465,0.14888304472,0.825,56.1,18865.418377637863,10,0.00140486,8057853,0.00251101,0.00140486
,132275,0.000827465,0.156748890877,0.55,45.025,18866.608952999115,19,0.00140486,8058290,0.00251101,0.00140486
,132287,0.000509325,0.295690476894,0.375,37.725,18867.83939266205,12,0.00088324,8058858,0.00131226,0.00088324
,132293,0.00116998,0.141547501087,0.425,39.55,18869.088004350662,6,0.000694347,8059366,0.000576616,0.000694347
,132305,0.000948261,0.348194599152,0.55,44.625,18870.324166059494,12,0.001788,8059845,0.00137197,0.001788
,132315,0.00135348,0.207593679428,0.725,51.925,18871.547821044922,10,0.00124254,8060367,0.00136631,0.00124254
,132326,0.000584613,0.220614433289,0.75,52.05,18872.755688667297,11,0.0001691,8060917,0.000418085,0.0001691
,132341,0.000471352,0.283439874649,0.475,41.425,18874.02581000328,15,0.00065586,8061410,0.00126204,0.00065586
,132351,0.000669108,0.160038948059,0.5,41.55,18875.259509325027,10,0.001466,8061937,0.00131112,0.001466
,132365,0.00090744,0.233952879906,0.4,37.85,18876.50075483322,14,0.000855548,8062408,0.00169248,0.000855548
,132375,5.97281e-05,0.131892979145,0.575,45.15,18877.691581249237,10,6.92084e-05,8062930,0.000268524,6.92084e-05
,132380,0.000494167,0.0318256020546,0.75,52.45,18878.840398788452,5,0.000862245,8063337,0.00121129,0.000862245
,132386,0.000126004,0.044791996479,0.85,56.1,18880.044075250626,6,0.000187978,8063918,0.000510815,0.000187978
,132392,0.000221103,0.0759550333023,0.9,59.625,18881.206060647964,6,0.000413171,8064494,0.00117536,0.000413171
,132402,0.000698266,0.127386331558,1.1,67.05,18882.43471431732,10,0.000799835,8065021,0.0012662,0.000799835
,132410,0.0012203,0.143049478531,1.125,67.175,18883.644472837448,8,0.0012445,8065502,0.000918339,0.0012445
,132420,0.000428467,0.180777728558,1.15,67.3,18884.881751537323,10,0.000708021,8066029,0.00127257,0.000708021
,132430,0.000250863,0.154591619968,0.95,59.875,18886.100925922394,10,0.000297505,8066551,0.000753092,0.000297505
,132435,0.000853056,0.0837354660034,0.95,59.875,18887.306807994843,5,0.00156257,8066958,0.00135434,0.00156257
,132441,0.000457018,0.0621807575226,1.05,63.575,18888.510899305344,6,6.72489e-05,8067541,0.0019871,6.72489e-05
,132445,0.000516185,0.0603345036507,1.25,71.825,18889.717993974686,4,0.000772165,8067963,0.00233177,0.000772165
