total_timesteps,explained_variance,policy_entropy,fps,nupdates,value_loss
1560000,0.9668334051966667,1.3208763599395752,1316,19500,0.0027295779436826706
1568000,0.9133808687329292,1.2759053707122803,1316,19600,0.00492732273414731
1576000,0.9053664430975914,1.2450683116912842,1316,19700,0.010015384294092655
1584000,0.8925491571426392,1.2991762161254883,1316,19800,0.013627538457512856
1592000,0.8996874913573265,1.3001223802566528,1316,19900,0.01051770057529211
1600000,0.9496517032384872,1.3124215602874756,1316,20000,0.005874127149581909
1608000,0.9611102938652039,1.3131630420684814,1316,20100,0.002944917418062687
1616000,0.8249110132455826,1.3417328596115112,1316,20200,0.010315222665667534
1624000,0.9260548800230026,1.2905447483062744,1316,20300,0.006944787688553333
1632000,0.8866432532668114,1.3018407821655273,1315,20400,0.011016612872481346
1640000,0.9704405460506678,1.2998991012573242,1315,20500,0.002899413462728262
1648000,0.8444316685199738,1.327926516532898,1315,20600,0.021362680941820145
1656000,0.6669653058052063,1.346189260482788,1315,20700,0.04833723604679108
1664000,0.8533598184585571,1.3332417011260986,1315,20800,0.015147348865866661
1672000,0.926590085029602,1.3287193775177002,1316,20900,0.006549317389726639
1680000,0.7794797420501709,1.3214493989944458,1315,21000,0.01084902323782444
1688000,0.8853000327944756,1.2944233417510986,1315,21100,0.011407950893044472
1696000,0.9653704464435577,1.304755687713623,1315,21200,0.0033172343391925097
1704000,0.9852983830496669,1.3167946338653564,1315,21300,0.0025706086307764053
1712000,0.9691708516329527,1.30803644657135,1315,21400,0.0031430490780621767
1720000,0.8686849176883698,1.2862873077392578,1315,21500,0.01769300177693367
1728000,0.7409602701663971,1.3180185556411743,1315,21600,0.04379160329699516
1736000,0.9091598317027092,1.3315099477767944,1315,21700,0.009149579331278801
1744000,0.9291890785098076,1.3070604801177979,1315,21800,0.00479480717331171
1752000,0.8832833021879196,1.327300786972046,1315,21900,0.016642827540636063
1760000,0.8640698343515396,1.339756727218628,1315,22000,0.016149913892149925
1768000,0.9724252428859472,1.332701563835144,1315,22100,0.0027302002999931574
1776000,0.9265702441334724,1.31838059425354,1315,22200,0.0070641785860061646
1784000,0.8960604891180992,1.3190333843231201,1316,22300,0.011150550097227097
1792000,0.9150942042469978,1.3566644191741943,1316,22400,0.009713676758110523
1800000,0.9242775589227676,1.356545090675354,1316,22500,0.0044440170750021935
1808000,0.9811753444373608,1.3430893421173096,1316,22600,0.0021574588026851416
1816000,0.9272799640893936,1.34786057472229,1316,22700,0.011482209898531437
1824000,0.9535615481436253,1.3197300434112549,1316,22800,0.0035222736187279224
1832000,0.9651616923511028,1.3308665752410889,1316,22900,0.00495925871655345
1840000,0.9452364332973957,1.3011276721954346,1316,23000,0.004953008610755205
1848000,0.9317599013447762,1.3031542301177979,1315,23100,0.004998557269573212
1856000,0.9878670489415526,1.312910795211792,1316,23200,0.0016034800792112947
1864000,0.9571064114570618,1.2914483547210693,1315,23300,0.003767734859138727
1872000,0.9050166979432106,1.2671092748641968,1315,23400,0.010814911685883999
1880000,0.9752875883132219,1.3283538818359375,1316,23500,0.0033749963622540236
1888000,0.885443814098835,1.3523340225219727,1316,23600,0.017100265249609947
1896000,0.9404665529727936,1.3096227645874023,1316,23700,0.00582218449562788
1904000,0.9082361534237862,1.2878572940826416,1316,23800,0.010250766761600971
1912000,0.9351962730288506,1.3178905248641968,1316,23900,0.008165931329131126
1920000,0.9839302636682987,1.3133795261383057,1316,24000,0.0022846043575555086
1928000,0.9550131633877754,1.3073627948760986,1316,24100,0.005485665984451771
1936000,0.9209260269999504,1.3090906143188477,1316,24200,0.008827617391943932
1944000,0.9232749491930008,1.3378134965896606,1316,24300,0.010817712172865868
1952000,0.9066301211714745,1.2891626358032227,1316,24400,0.011405512690544128
1960000,0.8346336185932159,1.300567865371704,1316,24500,0.009621025994420052
1968000,0.9478039778769016,1.3060274124145508,1316,24600,0.00973108597099781
1976000,0.7303731739521027,1.316347599029541,1316,24700,0.024471459910273552
1984000,0.771178349852562,1.2980118989944458,1316,24800,0.02089397981762886
1992000,0.9678287506103516,1.277880072593689,1316,24900,0.004989828448742628
2000000,0.8223932236433029,1.2741591930389404,1316,25000,0.028679918497800827
2008000,0.9503549970686436,1.2833607196807861,1316,25100,0.006229632534086704
2016000,0.9380604289472103,1.2957885265350342,1316,25200,0.009735027328133583
2024000,0.8944700062274933,1.2985321283340454,1316,25300,0.010190215893089771
2032000,0.8513048738241196,1.2659209966659546,1316,25400,0.010861499235033989
2040000,0.8111488968133926,1.3093088865280151,1316,25500,0.01771649345755577
