EpThisIter,optimgain,entloss,surrgain,TimeElapsed,TimestepsSoFar,meankl,EpisodesSoFar,ev_tdlam_before,entropy,EpLenMean,EpRewMean
1,0.0131526,,0.0131526,155.9838411808014,74820,0.00121989,81,0.00413930416107,1.71965,938.9,-20.25
1,0.0120365,,0.0120365,157.04556894302368,75623,0.000894971,82,0.00231713056564,1.69005,935.6,-20.25
,0.0143969,,0.0143969,158.11187744140625,75623,0.0010904,82,-0.000226020812988,1.72084,935.6,-20.25
1,0.0120543,,0.0120543,159.1973910331726,76637,0.000961041,83,0.000365197658539,1.67761,937.7,-20.25
,0.00731079,,0.00731079,160.27255487442017,76637,0.00035296,83,0.00538605451584,1.72975,937.7,-20.25
1,0.00968225,,0.00968225,161.36071705818176,77654,0.000354876,84,0.00212901830673,1.69172,936.125,-20.25
,0.0110168,,0.0110168,162.41891503334045,77654,0.000895357,84,0.00388032197952,1.72983,936.125,-20.25
1,0.0153942,,0.0153942,163.47675967216492,78806,0.00123025,85,-0.00264978408813,1.66047,939.425,-20.25
,0.0127758,,0.0127758,164.54931807518005,78806,0.00135273,85,0.00289386510849,1.70647,939.425,-20.25
1,0.00709499,,0.00709499,165.6199324131012,79682,0.000412095,86,0.00061821937561,1.66788,939.9,-20.25
,0.0129722,,0.0129722,166.68184971809387,79682,0.00117179,86,0.00311326980591,1.67158,939.9,-20.25
1,0.00701347,,0.00701347,167.76317048072815,80585,0.000663115,87,0.00277209281921,1.65598,940.4,-20.25
1,0.0168818,,0.0168818,168.84681391716003,81408,0.00116049,88,0.00345140695572,1.62806,934.375,-20.25
,0.015694,,0.015694,169.90949964523315,81408,0.00102471,88,0.0012908577919,1.67367,934.375,-20.25
1,0.0153918,,0.0153918,170.96204566955566,82284,0.0010732,89,-0.00184690952301,1.63281,935.825,-20.25
,0.0151694,,0.0151694,172.03381204605103,82284,0.00126714,89,0.00285214185715,1.66342,935.825,-20.25
1,0.0149807,,0.0149807,173.10341620445251,83132,0.00117765,90,0.00184220075607,1.63556,934.7,-20.275
1,0.0150986,,0.0150986,174.18511772155762,83948,0.00130455,91,0.00254082679749,1.60036,931.925,-20.275
,0.0187531,,0.0187531,175.248064994812,83948,0.00100114,91,0.00264054536819,1.7225,931.925,-20.275
1,0.0194841,,0.0194841,176.31302952766418,84782,0.00124376,92,0.000977039337158,1.65289,931.525,-20.275
,0.00904289,,0.00904289,177.38539671897888,84782,0.000305534,92,0.00300711393356,1.67875,931.525,-20.275
1,0.0172698,,0.0172698,178.45206451416016,85786,0.00106053,93,-0.00446939468384,1.62253,935.65,-20.25
,0.00810355,,0.00810355,179.5211853981018,85786,0.000340527,93,0.00239777565002,1.67108,935.65,-20.25
1,0.0154941,,0.0154941,180.59404039382935,86626,0.00100474,94,-6.48498535156e-05,1.67734,935.7,-20.225
1,0.0143553,,0.0143553,181.69011402130127,87509,0.00113373,95,0.00281494855881,1.60971,929.925,-20.225
,0.0137014,,0.0137014,182.77248358726501,87509,0.00102242,95,0.0033643245697,1.70406,929.925,-20.225
1,0.0180083,,0.0180083,183.84585857391357,88494,0.00130967,96,0.00218796730042,1.61337,932.05,-20.25
,0.0183466,,0.0183466,184.90754532814026,88494,0.00115237,96,-0.000545978546143,1.676,932.05,-20.25
1,0.0133535,,0.0133535,185.9964780807495,89314,0.00107893,97,-0.00170028209686,1.66363,929.325,-20.25
,0.016576,,0.016576,187.07274317741394,89314,0.00135661,97,0.00521785020828,1.67848,929.325,-20.25
1,0.015076,,0.015076,188.14134526252747,90163,0.00136593,98,0.00329464673996,1.70942,924.35,-20.25
1,0.0199461,,0.0199461,189.2065875530243,91041,0.00138824,99,0.00258094072342,1.62323,923.575,-20.25
,0.0180313,,0.0180313,190.27898836135864,91041,0.00114876,99,-0.00344860553741,1.70901,923.575,-20.25
1,0.0149576,,0.0149576,191.36267924308777,92093,0.00126537,100,0.000535726547241,1.61222,927.425,-20.2
,0.017161,,0.017161,192.43558859825134,92093,0.00129841,100,-0.00045919418335,1.7249,927.425,-20.2
,0.00869688,,0.00869688,193.50427222251892,92093,0.000408633,100,0.00300359725952,1.62723,927.425,-20.2
1,0.0150037,,0.0150037,194.58964371681213,93343,0.00118137,101,0.000155508518219,1.66607,935.5,-20.2
,0.0137422,,0.0137422,195.63977599143982,93343,0.00119722,101,0.00207877159119,1.61356,935.5,-20.2
1,0.01926,,0.01926,196.71855568885803,94301,0.000954666,102,0.00173979997635,1.6803,932.775,-20.25
,0.0147385,,0.0147385,197.77619791030884,94301,0.00136072,102,-0.00243496894836,1.67022,932.775,-20.25
1,0.0132109,,0.0132109,198.85604000091553,95408,0.00114893,103,-0.000373601913452,1.67595,933.1,-20.25
,0.017603,,0.017603,199.91372394561768,95408,0.00125548,103,-0.00238990783691,1.68036,933.1,-20.25
1,0.00758181,,0.00758181,200.99979829788208,96544,0.000353623,104,0.000329792499542,1.69809,936.925,-20.25
,0.0182743,,0.0182743,202.08318305015564,96544,0.00118044,104,0.000598073005676,1.73196,936.925,-20.25
1,0.0123217,,0.0123217,203.1491904258728,97503,0.00114112,105,-0.00161504745483,1.69481,938.375,-20.225
,0.0170083,,0.0170083,204.21957325935364,97503,0.000977546,105,0.00016838312149,1.71551,938.375,-20.225
1,0.00776428,,0.00776428,205.2925500869751,98543,0.00071462,106,-0.00270426273346,1.70606,939.3,-20.25
,0.0147863,,0.0147863,206.37653946876526,98543,0.000922641,106,0.00424075126648,1.73891,939.3,-20.25
,0.0146223,,0.0146223,207.44888997077942,98543,0.00114762,106,0.00055056810379,1.68499,939.3,-20.25
1,0.0158743,,0.0158743,208.53418946266174,99854,0.00101804,107,-0.000465750694275,1.73652,952.675,-20.225
1,0.0150254,,0.0150254,209.61124920845032,100784,0.00114899,108,0.00181096792221,1.70657,950.175,-20.275
,0.019021,,0.019021,210.6826663017273,100784,0.00119203,108,-0.00386524200439,1.74528,950.175,-20.275
1,0.0152871,,0.0152871,211.7458782196045,101774,0.00121569,109,-0.00228440761566,1.68579,953.925,-20.225
,0.00762435,,0.00762435,212.79890608787537,101774,0.000492279,109,-2.55107879639e-05,1.73625,953.925,-20.225
1,0.013424,,0.013424,213.87713074684143,102854,0.000853164,110,0.00208377838135,1.68511,960.425,-20.2
,0.0153585,,0.0153585,214.93172144889832,102854,0.00104986,110,-0.000746130943298,1.71527,960.425,-20.2
1,0.0168247,,0.0168247,216.01065230369568,103850,0.00108194,111,-0.000949501991272,1.65782,955.975,-20.25
,0.015682,,0.015682,217.0722279548645,103850,0.0010823,111,0.00535082817078,1.72152,955.975,-20.25
1,0.0129642,,0.0129642,218.1529417037964,104669,0.00119106,112,-0.000386118888855,1.69886,954.525,-20.25
,0.0156215,,0.0156215,219.20590090751648,104669,0.00110913,112,0.00570422410965,1.72465,954.525,-20.25
1,0.0160495,,0.0160495,220.32554578781128,105586,0.000927822,113,-0.000291347503662,1.73233,956.95,-20.225
,0.0144317,,0.0144317,221.38590478897095,105586,0.000957208,113,0.00305396318436,1.68452,956.95,-20.225
1,0.0149801,,0.0149801,222.48319149017334,106713,0.000851696,114,-0.00123775005341,1.69732,964.275,-20.2
,0.0170244,,0.0170244,223.55704140663147,106713,0.00123759,114,0.00111013650894,1.72761,964.275,-20.2
1,0.0156954,,0.0156954,224.6392102241516,107719,0.000979734,115,0.00205856561661,1.72028,968.525,-20.2
,0.00671764,,0.00671764,225.71081018447876,107719,0.000469655,115,0.00608533620834,1.70558,968.525,-20.2
1,0.0114979,,0.0114979,226.80348443984985,108618,0.000946881,116,0.00247979164124,1.68203,968.1,-20.225
1,0.00635406,,0.00635406,227.8999798297882,109482,0.000505763,117,0.00014191865921,1.63307,964.275,-20.225
,0.017711,,0.017711,228.94561171531677,109482,0.00112605,117,0.00138777494431,1.71042,964.275,-20.225
,0.0175967,,0.0175967,230.00488805770874,109482,0.00118451,117,0.00200325250626,1.65111,964.275,-20.225
1,0.00894448,,0.00894448,231.10094904899597,110637,0.000326771,118,0.00211066007614,1.70659,971.475,-20.2
1,0.0182646,,0.0182646,232.19981169700623,111422,0.00113582,119,-0.000517010688782,1.68715,965.2,-20.225
,0.00805963,,0.00805963,233.29131293296814,111422,0.000361392,119,0.00956839323044,1.70364,965.2,-20.225
1,0.0164136,,0.0164136,234.382497549057,112273,0.00125407,120,0.00156050920486,1.67231,960.55,-20.225
,0.0142039,,0.0142039,235.46153950691223,112273,0.00099815,120,0.000719964504242,1.62484,960.55,-20.225
1,0.0175566,,0.0175566,236.5798795223236,113275,0.00105512,121,0.00214236974716,1.683,961.375,-20.275
,0.0135432,,0.0135432,237.65397334098816,113275,0.00103246,121,-0.00138294696808,1.63963,961.375,-20.275
1,0.0113892,,0.0113892,238.74160075187683,114467,0.00124759,122,0.000663936138153,1.65462,971.1,-20.25
,0.017797,,0.017797,239.8163628578186,114467,0.000955106,122,0.00400596857071,1.65977,971.1,-20.25
1,0.018534,,0.018534,240.8944034576416,115536,0.00135395,123,-0.00120460987091,1.60553,972.475,-20.225
,0.0206161,,0.0206161,241.97319555282593,115536,0.00130898,123,0.000303387641907,1.65024,972.475,-20.225
1,0.0130005,,0.0130005,243.0702121257782,116542,0.00119042,124,0.00564193725586,1.60508,972.2,-20.225
,0.0152635,,0.0152635,244.14528226852417,116542,0.00100931,124,0.00121414661407,1.67095,972.2,-20.225
1,0.0157926,,0.0157926,245.23145151138306,117447,0.00116732,125,0.000500559806824,1.62796,966.025,-20.275
,0.0116663,,0.0116663,246.30432033538818,117447,0.000926445,125,0.000832080841064,1.63445,966.025,-20.275
1,0.00856115,,0.00856115,247.40207600593567,118376,0.000348518,126,0.00356793403625,1.66079,967.35,-20.3
1,0.00809649,,0.00809649,248.48911309242249,119236,0.000434414,127,0.0035805106163,1.62523,966.275,-20.275
,0.0135478,,0.0135478,249.5802013874054,119236,0.000987239,127,0.00186157226562,1.66329,966.275,-20.275
1,0.00878491,,0.00878491,250.6659755706787,120076,0.000322178,128,0.00341427326202,1.63005,966.7,-20.275
,0.0148936,,0.0148936,251.7547857761383,120076,0.00117758,128,0.00278240442276,1.56206,966.7,-20.275
