entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,938.225,-20.175,72,0.00127015,0.0144588,1,1.69435,-6.18696212769e-05,67727,0.0144588,141.61521005630493
,933.7,-20.2,73,0.00109569,0.0146321,1,1.70394,0.00234520435333,68547,0.0146321,142.6903371810913
,933.7,-20.2,73,0.00106721,0.0141202,,1.68198,-0.00526130199432,68547,0.0141202,143.7865834236145
,934.55,-20.2,74,0.000868547,0.00453917,1,1.68118,-0.00467383861542,69550,0.00453917,144.87698364257812
,934.55,-20.2,74,0.00113632,0.0132089,,1.65858,-0.00161778926849,69550,0.0132089,145.9474334716797
,935.625,-20.225,75,0.00104931,0.0136744,1,1.67243,-0.000261545181274,70486,0.0136744,147.02966403961182
,935.625,-20.225,75,0.000995145,0.013156,,1.67499,-0.000145673751831,70486,0.013156,148.08816170692444
,943.45,-20.15,76,0.00109777,0.0147359,1,1.69507,0.000274837017059,71616,0.0147359,149.16780066490173
,943.45,-20.15,76,0.00115769,0.016371,,1.70494,-0.00126767158508,71616,0.016371,150.2408847808838
,948.575,-20.125,77,0.00102521,0.0137441,1,1.6625,-0.00096070766449,72661,0.0137441,151.31577396392822
,948.575,-20.125,77,0.00131026,0.0161176,,1.67109,-5.82933425903e-05,72661,0.0161176,152.38001704216003
,946.1,-20.125,78,0.00111084,0.0142004,1,1.68237,-0.00432348251343,73643,0.0142004,153.45070338249207
,946.1,-20.125,78,0.00085971,0.00923649,,1.68486,-0.00264823436737,73643,0.00923649,154.52065873146057
,945.075,-20.125,79,0.00114695,0.0140968,1,1.67166,-0.000316381454468,74523,0.0140968,155.5914843082428
,945.075,-20.125,79,0.000951563,0.0111845,,1.68243,-0.00201296806335,74523,0.0111845,156.67207884788513
,942.125,-20.125,80,0.001061,0.0155353,1,1.64625,-0.00464797019958,75402,0.0155353,157.73866510391235
,940.425,-20.15,81,0.00116987,0.0147156,1,1.62958,-0.00189757347107,76263,0.0147156,158.8167154788971
