nupdates,total_timesteps,policy_loss,policy_entropy,explained_variance,fps,value_loss
2675,1712000,0.04613759368658066,1.6267826557159424,0.9165745079517365,1152,0.009688416495919228
2676,1712640,-0.00206911563873291,1.6276321411132812,0.8685204386711121,1152,0.012331834062933922
2677,1713280,-0.023240668699145317,1.6367324590682983,0.7972487658262253,1152,0.018124042078852654
2678,1713920,-0.06682127714157104,1.58527410030365,0.8656521439552307,1152,0.013224685564637184
2679,1714560,-0.035392362624406815,1.6192039251327515,0.7967114299535751,1152,0.023601766675710678
2680,1715200,-0.04406765103340149,1.613492727279663,0.8669946193695068,1152,0.018393877893686295
2681,1715840,-0.013960694894194603,1.6287963390350342,0.8704628348350525,1152,0.013608050532639027
2682,1716480,-0.06950033456087112,1.623572587966919,0.8282148689031601,1152,0.022435452789068222
2683,1717120,-0.04887530952692032,1.6083440780639648,0.8165225386619568,1152,0.019299771636724472
2684,1717760,0.009706629440188408,1.5949897766113281,0.8791525289416313,1152,0.014158645644783974
2685,1718400,0.012658042833209038,1.6358970403671265,0.8041221648454666,1152,0.025516394525766373
2686,1719040,-0.05032702535390854,1.660178780555725,0.8191225528717041,1152,0.015390746295452118
2687,1719680,0.0319291353225708,1.5894609689712524,0.9266699701547623,1152,0.008377183228731155
2688,1720320,0.005328333005309105,1.616699457168579,0.8909177929162979,1152,0.013991226442158222
2689,1720960,0.10031872987747192,1.6206884384155273,0.6043834388256073,1152,0.03504430502653122
2690,1721600,-0.01763308420777321,1.6061153411865234,0.8958946093916893,1152,0.01356622762978077
2691,1722240,0.03257107734680176,1.6403605937957764,0.918072834610939,1152,0.010916217230260372
2692,1722880,0.025483546778559685,1.5994503498077393,0.8737231642007828,1152,0.01471131481230259
2693,1723520,-0.05139562860131264,1.563010811805725,0.7716542333364487,1152,0.024489179253578186
2694,1724160,-0.03148485720157623,1.6153560876846313,0.8822353780269623,1152,0.009981195442378521
2695,1724800,-0.06196135655045509,1.6315799951553345,0.8414425998926163,1152,0.018285412341356277
2696,1725440,-0.026975039392709732,1.6321369409561157,0.9335614517331123,1152,0.007074075751006603
2697,1726080,-0.010799478739500046,1.5772960186004639,0.9366103410720825,1152,0.006546960677951574
2698,1726720,-0.023381847888231277,1.5771716833114624,0.9328539595007896,1152,0.008163569495081902
2699,1727360,0.03442006558179855,1.6461957693099976,0.8577699810266495,1152,0.013331318274140358
2700,1728000,-0.010062084533274174,1.6397823095321655,0.9026427119970322,1153,0.00891810655593872
2701,1728640,-0.048924319446086884,1.6044994592666626,0.8783920705318451,1152,0.015525111928582191
2702,1729280,-0.044745344668626785,1.5766773223876953,0.8994878008961678,1152,0.01378629356622696
2703,1729920,-0.020706728100776672,1.611329436302185,0.8978142216801643,1152,0.012035831809043884
2704,1730560,-0.005256357602775097,1.5679991245269775,0.9312663972377777,1152,0.010668998584151268
2705,1731200,-0.028942275792360306,1.6467558145523071,0.9244060292840004,1152,0.009953729808330536
2706,1731840,-0.011659118346869946,1.6147178411483765,0.9085909053683281,1152,0.007714779116213322
2707,1732480,0.0003058789297938347,1.541306972503662,0.9331911653280258,1153,0.006078555714339018
2708,1733120,-0.016609806567430496,1.5955960750579834,0.9549902006983757,1152,0.00416166428476572
2709,1733760,0.0233339611440897,1.6183757781982422,0.9406941011548042,1152,0.006293699145317078
2710,1734400,-0.027009382843971252,1.64602530002594,0.8288526237010956,1152,0.012926409021019936
2711,1735040,-0.03726355731487274,1.5956182479858398,0.9149302467703819,1152,0.00608651340007782
2712,1735680,-0.03505735099315643,1.5609194040298462,0.8430373072624207,1152,0.010576054453849792
2713,1736320,-0.05569532886147499,1.6124002933502197,0.9075287654995918,1152,0.008779564872384071
2714,1736960,-0.06792235374450684,1.6342248916625977,0.9017265290021896,1152,0.015062065795063972
2715,1737600,-0.029111549258232117,1.586504340171814,0.9595199711620808,1152,0.006318619940429926
2716,1738240,-0.04640049487352371,1.612614631652832,0.9099345803260803,1152,0.013845446519553661
2717,1738880,0.026438860222697258,1.5691759586334229,0.8774428963661194,1152,0.012754860334098339
