nupdates,fps,value_loss,explained_variance,policy_entropy,total_timesteps
37000,1477,0.025001242756843567,0.6553739905357361,1.7344119548797607,2960000
37100,1477,0.013872082345187664,0.7944860756397247,1.7201488018035889,2968000
37200,1477,0.013191493228077888,0.7763929814100266,1.7456499338150024,2976000
37300,1477,0.01712716743350029,0.8061261773109436,1.7459417581558228,2984000
37400,1477,0.02387448213994503,0.8119505792856216,1.7421321868896484,2992000
37500,1477,0.016698123887181282,0.8276352882385254,1.7571990489959717,3000000
37600,1477,0.03567741438746452,0.7309550940990448,1.7604539394378662,3008000
37700,1477,0.015080766752362251,0.5813788771629333,1.7569106817245483,3016000
37800,1477,0.016773447394371033,0.8532298803329468,1.7039533853530884,3024000
37900,1477,0.016374843195080757,0.6873036921024323,1.7356504201889038,3032000
38000,1477,0.014998294413089752,0.8816164061427116,1.7244971990585327,3040000
38100,1476,0.011586977168917656,0.8522626161575317,1.7274277210235596,3048000
38200,1476,0.012042141519486904,0.6708323955535889,1.7335284948349,3056000
38300,1476,0.007619120180606842,0.9230243638157845,1.7450586557388306,3064000
38400,1476,0.011415919288992882,0.9113377556204796,1.7274513244628906,3072000
38500,1476,0.011898068711161613,0.8316823840141296,1.72467839717865,3080000
38600,1476,0.0032991357147693634,0.9319970235228539,1.72036612033844,3088000
38700,1476,0.005337565205991268,0.8744106441736221,1.6895885467529297,3096000
38800,1476,0.027924273163080215,0.588119775056839,1.7397079467773438,3104000
38900,1476,0.008252237923443317,0.7588241696357727,1.7491928339004517,3112000
39000,1476,0.007433311548084021,0.9015575423836708,1.7439380884170532,3120000
39100,1476,0.01455802470445633,0.7365324795246124,1.732988715171814,3128000
39200,1476,0.009083295240998268,0.6602116823196411,1.703924536705017,3136000
39300,1476,0.010861910879611969,0.8472697734832764,1.7023779153823853,3144000
39400,1476,0.007692933082580566,0.8585136830806732,1.6961851119995117,3152000
39500,1476,0.0340164378285408,0.6687122285366058,1.732860803604126,3160000
39600,1476,0.012323080562055111,0.7983315140008926,1.7113910913467407,3168000
39700,1476,0.011917883530259132,0.7600371390581131,1.692061185836792,3176000
39800,1476,0.01430080272257328,0.8274153769016266,1.749002456665039,3184000
39900,1476,0.011869258247315884,0.875820629298687,1.636438012123108,3192000
40000,1476,0.013397340662777424,0.7360325455665588,1.6873128414154053,3200000
40100,1476,0.005837895907461643,0.8022637516260147,1.6992638111114502,3208000
40200,1476,0.01859273388981819,0.5922944247722626,1.7205431461334229,3216000
40300,1476,0.009307949803769588,0.8273365348577499,1.645739197731018,3224000
40400,1476,0.009524352848529816,0.7779418975114822,1.6928536891937256,3232000
40500,1476,0.00813895184546709,0.8450572341680527,1.6814031600952148,3240000
40600,1476,0.015516405925154686,0.7892656028270721,1.6707065105438232,3248000
40700,1476,0.0030053758528083563,0.952148649841547,1.4071121215820312,3256000
40800,1476,0.009702051058411598,0.7492108345031738,1.7105029821395874,3264000
40900,1476,0.008736230432987213,0.7825615257024765,1.7272539138793945,3272000
41000,1476,0.01643749512732029,0.8163634538650513,1.6345288753509521,3280000
41100,1476,0.026313718408346176,0.6746667325496674,1.7344564199447632,3288000
41200,1476,0.008456800132989883,0.7849643230438232,1.7293033599853516,3296000
41300,1476,0.005021900869905949,0.9636196196079254,1.7043473720550537,3304000
41400,1476,0.00915071927011013,0.8577934801578522,1.6807022094726562,3312000
41500,1476,0.01372237503528595,0.6118974387645721,1.6720554828643799,3320000
41600,1476,0.009739668108522892,0.9035103097558022,1.6771854162216187,3328000
41700,1476,0.005103683564811945,0.9570664688944817,1.6756007671356201,3336000
41800,1476,0.020004339516162872,0.5496745109558105,1.5742918252944946,3344000
41900,1476,0.029925625771284103,0.7468140721321106,1.664934754371643,3352000
42000,1476,0.010609230026602745,0.8164584785699844,1.6602569818496704,3360000
42100,1476,0.011936133727431297,0.881920114159584,1.6656248569488525,3368000
42200,1476,0.025020932778716087,0.7157171964645386,1.7334312200546265,3376000
42300,1476,0.01619557850062847,0.6920651793479919,1.6916128396987915,3384000
42400,1476,0.008891834877431393,0.7270493507385254,1.672925591468811,3392000
42500,1476,0.025285083800554276,0.5873417556285858,1.6686357259750366,3400000
42600,1476,0.008920328691601753,0.8277058005332947,1.608432412147522,3408000
42700,1476,0.008540546521544456,0.8545238971710205,1.7088813781738281,3416000
42800,1475,0.011285989545285702,0.8603159785270691,1.703613042831421,3424000
42900,1475,0.01324251014739275,0.7394879758358002,1.64614999294281,3432000
43000,1475,0.003125139744952321,0.872329443693161,1.7047611474990845,3440000
43100,1475,0.028473088517785072,0.792589083313942,1.6343456506729126,3448000
43200,1475,0.014450336806476116,0.8235004544258118,1.6598279476165771,3456000
43300,1475,0.0036704682279378176,0.9053603857755661,1.656102180480957,3464000
43400,1475,0.00392711628228426,0.9257003366947174,1.6358349323272705,3472000
43500,1475,0.011496060527861118,0.4556581974029541,1.6488510370254517,3480000
43600,1475,0.005448505282402039,0.7871446311473846,1.6445446014404297,3488000
43700,1475,0.0041610985063016415,0.9452169314026833,1.673447847366333,3496000
43800,1475,0.011223115026950836,0.7898070514202118,1.669926404953003,3504000
43900,1475,0.006714265793561935,0.8569246977567673,1.7033531665802002,3512000
44000,1475,0.007160062901675701,0.8645298331975937,1.707329511642456,3520000
44100,1475,0.006047422531992197,0.5468068718910217,1.6175873279571533,3528000
44200,1475,0.009766430594027042,0.823828712105751,1.7106382846832275,3536000
44300,1475,0.0314287394285202,0.6636796295642853,1.7328078746795654,3544000
44400,1475,0.009158462285995483,0.8098182082176208,1.628767728805542,3552000
44500,1475,0.02341292053461075,0.7289261221885681,1.7158361673355103,3560000
44600,1475,0.005430819466710091,0.90879026055336,1.6728637218475342,3568000
44700,1475,0.007054641842842102,0.8513420969247818,1.6103277206420898,3576000
44800,1475,0.018242785707116127,0.7900311797857285,1.643667459487915,3584000
44900,1475,0.01750892400741577,0.7683422416448593,1.6995651721954346,3592000
45000,1475,0.0033311943989247084,0.881897822022438,1.6920245885849,3600000
45100,1475,0.012234208174049854,0.7419796288013458,1.6672561168670654,3608000
45200,1475,0.0058139897882938385,0.8441983759403229,1.7307077646255493,3616000
