explained_variance,total_timesteps,policy_entropy,fps,nupdates,value_loss,policy_loss
0.7452670633792877,6600320,0.604002833366394,1091,10313,0.5035584568977356,-0.18614645302295685
0.9313423559069633,6600960,0.6186133623123169,1091,10314,0.2624170780181885,0.07740077376365662
0.9691640958189964,6601600,0.6454744935035706,1091,10315,0.08344990760087967,0.024203652516007423
0.9552123360335827,6602240,0.6012803912162781,1091,10316,0.08817588537931442,0.03384345769882202
0.9654084295034409,6602880,0.6612985730171204,1091,10317,0.06933915615081787,0.001825200393795967
0.9744851142168045,6603520,0.6528948545455933,1091,10318,0.049967359751462936,0.02961374819278717
0.982948113232851,6604160,0.6394392848014832,1091,10319,0.03083142638206482,0.012962057255208492
0.9492960013449192,6604800,0.6228716969490051,1091,10320,0.1011604517698288,-0.014341197907924652
0.870221808552742,6605440,0.6343575716018677,1091,10321,0.25510162115097046,-0.09021082520484924
0.9798983223736286,6606080,0.6511809825897217,1091,10322,0.03897129371762276,0.0008217273280024529
0.9463128335773945,6606720,0.6729759573936462,1091,10323,0.10855350643396378,0.029175542294979095
0.9441243447363377,6607360,0.670964241027832,1091,10324,0.1242806538939476,0.03310598433017731
0.9717438016086817,6608000,0.6827796697616577,1091,10325,0.058662742376327515,-0.026428936049342155
0.8434803783893585,6608640,0.6412555575370789,1091,10326,0.32697901129722595,-0.11192450672388077
0.9263858571648598,6609280,0.6164801120758057,1091,10327,0.17200131714344025,-0.10419757664203644
0.9370714947581291,6609920,0.6363617181777954,1091,10328,0.13621599972248077,0.0609959214925766
0.9678319729864597,6610560,0.6701433062553406,1091,10329,0.07484866678714752,-0.0776522234082222
0.8751982226967812,6611200,0.629767894744873,1091,10330,0.4594039022922516,0.04954066872596741
0.8628136813640594,6611840,0.6487947702407837,1091,10331,0.7814918756484985,0.08699976652860641
0.8604668378829956,6612480,0.6205862760543823,1091,10332,0.5633476972579956,-0.14130733907222748
0.9727803394198418,6613120,0.6446303129196167,1091,10333,0.08215510845184326,-0.02320297807455063
0.9750785399228334,6613760,0.6458979845046997,1091,10334,0.06060440093278885,-0.014107013121247292
0.9795585088431835,6614400,0.668315589427948,1091,10335,0.04502850025892258,-0.06002035364508629
0.95753338560462,6615040,0.6601879000663757,1091,10336,0.10934904962778091,0.0011746012605726719
0.9546564370393753,6615680,0.65525883436203,1091,10337,0.11213759332895279,-0.04541994258761406
0.9620257765054703,6616320,0.6564741134643555,1091,10338,0.08921144157648087,-0.044664543122053146
0.9745185952633619,6616960,0.6413738131523132,1091,10339,0.06669723987579346,0.014438839629292488
0.9669891931116581,6617600,0.6388121247291565,1091,10340,0.09010715782642365,0.04257500544190407
0.9589063189923763,6618240,0.6704782247543335,1091,10341,0.08900663256645203,-0.024981960654258728
0.9738897308707237,6618880,0.6699925065040588,1091,10342,0.05791717767715454,-0.032869867980480194
0.9827870223671198,6619520,0.63321852684021,1091,10343,0.037031643092632294,0.010217709466814995
0.9740197062492371,6620160,0.6205564737319946,1091,10344,0.05753064155578613,-0.01347549632191658
0.9400146380066872,6620800,0.6377844214439392,1091,10345,0.15022099018096924,-0.05372849851846695
